epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,6759.91,0.7499,0.43028,0.87724,0.95259,0.92834,0.9723,0.77506,0.69151,0.4394,0.88156,0.0011882,0.0011882,0.0011882
43,6921.84,0.73934,0.43524,0.87313,0.95748,0.92502,0.96725,0.76878,0.71801,0.44069,0.89094,0.0011684,0.0011684,0.0011684
44,7083.64,0.77509,0.45492,0.88845,0.94769,0.93025,0.97281,0.77493,0.70251,0.44075,0.88179,0.0011486,0.0011486,0.0011486
45,7245.24,0.7429,0.43407,0.87519,0.94995,0.92851,0.97242,0.77559,0.71645,0.43875,0.88612,0.0011288,0.0011288,0.0011288
46,7406.17,0.7463,0.43295,0.87575,0.9496,0.9381,0.97339,0.78338,0.69936,0.43924,0.88736,0.001109,0.001109,0.001109
47,7567.08,0.73556,0.42926,0.87464,0.95152,0.932,0.97305,0.77671,0.69418,0.42809,0.88403,0.0010892,0.0010892,0.0010892
48,7727.77,0.72254,0.41395,0.86919,0.95823,0.92938,0.97366,0.78286,0.68845,0.43877,0.88016,0.0010694,0.0010694,0.0010694
49,7888.69,0.73331,0.42113,0.86757,0.9582,0.92764,0.97346,0.78066,0.69293,0.43738,0.88312,0.0010496,0.0010496,0.0010496
50,8049.24,0.71946,0.42405,0.86702,0.94452,0.93723,0.97146,0.77473,0.7093,0.43191,0.8853,0.0010298,0.0010298,0.0010298
51,8210.25,0.73035,0.41463,0.86931,0.93457,0.92938,0.96924,0.77803,0.69589,0.43564,0.88744,0.00101,0.00101,0.00101
52,8371.05,0.70891,0.40973,0.86363,0.94673,0.932,0.96412,0.7732,0.70101,0.42984,0.88434,0.0009902,0.0009902,0.0009902
53,8531.85,0.72572,0.41892,0.8693,0.9537,0.93392,0.97393,0.78181,0.68908,0.43804,0.88696,0.0009704,0.0009704,0.0009704
54,8692.61,0.70794,0.41322,0.86551,0.95208,0.92241,0.96978,0.78147,0.6837,0.4373,0.87814,0.0009506,0.0009506,0.0009506
55,8853.49,0.72317,0.41988,0.86923,0.9619,0.92457,0.97321,0.78028,0.69041,0.43267,0.87863,0.0009308,0.0009308,0.0009308
56,9014.32,0.70407,0.40145,0.86204,0.95782,0.93044,0.97404,0.78573,0.67804,0.41247,0.87996,0.000911,0.000911,0.000911
57,9175.4,0.71191,0.40634,0.86197,0.95799,0.93445,0.97141,0.78526,0.67325,0.41827,0.87975,0.0008912,0.0008912,0.0008912
58,9336.18,0.71293,0.40828,0.86185,0.94864,0.93636,0.9716,0.78467,0.68042,0.424,0.88595,0.0008714,0.0008714,0.0008714
59,9496.76,0.6937,0.39538,0.86914,0.93973,0.93799,0.9714,0.77519,0.68629,0.41482,0.88606,0.0008516,0.0008516,0.0008516
60,9657.59,0.70303,0.41694,0.85554,0.94349,0.93153,0.97029,0.77719,0.67945,0.42612,0.8787,0.0008318,0.0008318,0.0008318
61,9818.43,0.70022,0.40906,0.86179,0.95361,0.92589,0.97186,0.78109,0.68314,0.42353,0.87522,0.000812,0.000812,0.000812
62,9979.28,0.69161,0.40922,0.86473,0.96162,0.91892,0.97062,0.78282,0.67416,0.42488,0.87782,0.0007922,0.0007922,0.0007922
63,10140.1,0.69458,0.39846,0.85567,0.96586,0.93723,0.97608,0.79089,0.66283,0.40605,0.87143,0.0007724,0.0007724,0.0007724
64,10301,0.68583,0.38879,0.85778,0.95536,0.92328,0.9717,0.78551,0.66953,0.40712,0.86893,0.0007526,0.0007526,0.0007526
65,10461.8,0.68239,0.39198,0.86086,0.94895,0.94005,0.97347,0.78924,0.66712,0.41364,0.87101,0.0007328,0.0007328,0.0007328
66,10622.7,0.66991,0.38219,0.85068,0.9491,0.93548,0.97274,0.78645,0.67361,0.40235,0.87542,0.000713,0.000713,0.000713
67,10783.4,0.6799,0.39368,0.85744,0.95409,0.93287,0.97521,0.7848,0.68422,0.41183,0.882,0.0006932,0.0006932,0.0006932
68,10944.2,0.68672,0.4036,0.86201,0.95407,0.93287,0.97138,0.79087,0.66865,0.40513,0.87183,0.0006734,0.0006734,0.0006734
69,11105.1,0.68948,0.39489,0.86238,0.9541,0.93461,0.97337,0.7917,0.66678,0.39947,0.86996,0.0006536,0.0006536,0.0006536
70,11265.9,0.65968,0.37751,0.85441,0.94856,0.94595,0.97462,0.79074,0.66558,0.39997,0.87333,0.0006338,0.0006338,0.0006338
71,11426.4,0.67816,0.38506,0.85753,0.94555,0.93872,0.97229,0.79269,0.65104,0.40026,0.86753,0.000614,0.000614,0.000614
72,11587.3,0.65833,0.37804,0.85191,0.95051,0.93897,0.97265,0.78885,0.67187,0.40073,0.87104,0.0005942,0.0005942,0.0005942
73,11747.9,0.65643,0.37186,0.8493,0.95187,0.931,0.9738,0.79265,0.65681,0.39586,0.87142,0.0005744,0.0005744,0.0005744
74,11908.7,0.66234,0.40041,0.85141,0.95112,0.93296,0.97409,0.79303,0.66028,0.39779,0.87328,0.0005546,0.0005546,0.0005546
75,12069.4,0.65421,0.37828,0.8469,0.94134,0.93723,0.9715,0.79055,0.64947,0.39744,0.86906,0.0005348,0.0005348,0.0005348
76,12230.2,0.65975,0.37249,0.84879,0.95047,0.9369,0.97215,0.79501,0.65441,0.39157,0.8708,0.000515,0.000515,0.000515
77,12391,0.64959,0.36687,0.84666,0.9562,0.93271,0.97201,0.79919,0.644,0.38424,0.8642,0.0004952,0.0004952,0.0004952
78,12551.8,0.63242,0.36294,0.84535,0.95977,0.93112,0.97391,0.80256,0.6418,0.38282,0.86506,0.0004754,0.0004754,0.0004754
79,12712.1,0.64299,0.35904,0.84336,0.94398,0.94028,0.97372,0.79709,0.63966,0.38251,0.86722,0.0004556,0.0004556,0.0004556
80,12872.9,0.65046,0.36587,0.84969,0.95527,0.93287,0.97394,0.79519,0.65031,0.38823,0.86878,0.0004358,0.0004358,0.0004358
81,13033.1,0.64475,0.3582,0.84191,0.95712,0.93408,0.97442,0.79848,0.63227,0.38194,0.86361,0.000416,0.000416,0.000416
82,13192.9,0.64207,0.36621,0.84729,0.95717,0.93897,0.97516,0.79631,0.65733,0.38548,0.87049,0.0003962,0.0003962,0.0003962
83,13352.6,0.63425,0.35591,0.84621,0.95603,0.92894,0.97274,0.80017,0.63311,0.38553,0.86472,0.0003764,0.0003764,0.0003764
84,13512.4,0.62229,0.3523,0.8371,0.95529,0.93145,0.9726,0.79618,0.64529,0.38731,0.86913,0.0003566,0.0003566,0.0003566
85,13672.2,0.6381,0.35559,0.84407,0.957,0.93144,0.97288,0.79683,0.64527,0.38494,0.86889,0.0003368,0.0003368,0.0003368
86,13832.2,0.63582,0.35057,0.8403,0.95821,0.93947,0.97258,0.80048,0.63726,0.37819,0.86573,0.000317,0.000317,0.000317
87,13992.4,0.62771,0.35067,0.84253,0.95748,0.93723,0.97245,0.80454,0.62441,0.3722,0.86172,0.0002972,0.0002972,0.0002972
88,14152.5,0.62042,0.34718,0.84637,0.95487,0.94246,0.9742,0.80461,0.6318,0.37359,0.86475,0.0002774,0.0002774,0.0002774
89,14312.6,0.62588,0.35045,0.84099,0.95221,0.9381,0.97174,0.80026,0.62935,0.37254,0.86433,0.0002576,0.0002576,0.0002576
90,14472.6,0.61945,0.34398,0.83877,0.95569,0.94013,0.97224,0.79606,0.6408,0.37327,0.86517,0.0002378,0.0002378,0.0002378
91,14655.1,0.6041,0.34073,0.82809,0.94554,0.93852,0.97285,0.79638,0.63604,0.38316,0.86866,0.000218,0.000218,0.000218
92,14814.8,0.60164,0.3344,0.82526,0.95221,0.93811,0.9728,0.79573,0.63732,0.37653,0.86969,0.0001982,0.0001982,0.0001982
93,14974.4,0.59555,0.33314,0.82528,0.95105,0.94333,0.97365,0.79709,0.64009,0.37712,0.86791,0.0001784,0.0001784,0.0001784
94,15134,0.58622,0.3265,0.82187,0.95007,0.94568,0.97474,0.79962,0.63252,0.37497,0.87003,0.0001586,0.0001586,0.0001586
95,15293.7,0.58408,0.32224,0.82179,0.95288,0.9381,0.97349,0.79902,0.63326,0.37537,0.86659,0.0001388,0.0001388,0.0001388
96,15453.1,0.58441,0.32418,0.82507,0.9448,0.94333,0.97352,0.80348,0.62405,0.36431,0.86601,0.000119,0.000119,0.000119
97,15612.5,0.57828,0.32037,0.82603,0.94982,0.94069,0.97355,0.79959,0.62875,0.36219,0.86627,9.92e-05,9.92e-05,9.92e-05
98,15772,0.57543,0.31931,0.82089,0.94587,0.94448,0.9745,0.80032,0.63088,0.36782,0.86694,7.94e-05,7.94e-05,7.94e-05
99,15931.8,0.57677,0.3199,0.82402,0.94324,0.94171,0.97363,0.80349,0.62358,0.36023,0.86537,5.96e-05,5.96e-05,5.96e-05
100,16092.7,0.57008,0.31479,0.82045,0.95125,0.93563,0.97385,0.79903,0.62513,0.36518,0.8648,3.98e-05,3.98e-05,3.98e-05
